subject,tags,rating,votes,ratings,原名,发售日期,碟片数量,艺术家,价格,作曲,播放时长,厂牌,编曲,作词,版本特性,录音,别名,发行商,中文名,插图,制作人,商品编号,介质,英文名,Conductor,编号,Piano,Keyboard,Drums,Band,Choir,Orchestra,Arrangement,Sound Director,官方网站,原作,ASIN,发布,制作,条型码,品番
163164,松本文纪 OST サクラノ詩 galgame 神曲 樱之诗 钢琴 2015 文艺 ACG サウンドトラックCD 松本文紀 ざくざくと散る錆びた夢 ピクセルビー 枕 平庸 松本 懂的都懂，yyds 厉害了 O.S.T. VGM cd GAME 试试 ADV AVG うさ 游戏 2015年,9.378,558,"['358', '108', '61', '20', '6', '2', '1', '0', '1', '1']",サクラノ詩 サウンドトラックCD,2015-12-27,2,うさ,"￥2,500",松本文紀(szak) / ピクセルビー,,枕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238923,OST 光田康典 Xenoblade 平松健治 游戏音乐 2018年 ACE 2018 Xeno Xenoblade2 II 清田愛未 清田爱未 RPG XB2的 真 发现 OST就是 满分 神作 游戏 GAME 青田爱未 打了把XB1DE50多 小时,9.365,255,"['153', '59', '32', '7', '2', '2', '0', '0', '0', '0']",Xenoblade2 Original Soundtrack,2018-05-23,5,Jen Bird、アヌーナ,"￥ 4,860",光田康典、ACE(工藤ともり、CHiCO)、平松建治、清田愛未,327 分,SLEIGH BELLS,光田康典、Mariam Abounnasr、ACE(工藤ともり、CHiCO)、平松建治、清田愛未、吉村隆行,高橋哲哉,Soundtrack,,Xenoblade Chronicles 2 Original Soundtrack,,异度神剑2 游戏原声集,,,,,,,,,,,,,,,,,,,,,,
18305,菅野洋子 OST 星际牛仔 菅野よう子 cowboybebop 1998 Cowboy anime 动漫原声带 日本 カウボーイビバップ steve_conte 爵士 动画 シートベルツ 流行 神配乐 1998年 无愧世界第一 补 渡边信一郎 摇滚 经典 VICTOR 神曲 OP jazz,9.269,435,"['249', '107', '55', '17', '1', '0', '2', '1', '0', '3']",COWBOY BEBOP SOUNDTRACK 1,1998-05-21,1,シートベルツ、Steve Conte,"￥ 3,045",菅野よう子,53 m,ビクターエンタテインメント,菅野よう子,Tim Jensen,Soundtrack,ビクターエンタテインメント,,,,,,,,,,,,,,,,,,,,,,,,,
205970,Narcissu OST galgame 水仙 水仙十周年 水月陵 nekoneko系 菊地創 Ebi 2016 治愈 上松範康 REM 2016年 Elements　Garden ゲーム GAME cd 藤間仁 AVG,9.317,189,"['101', '56', '26', '3', '3', '0', '0', '0', '0', '0']",narcissu ORIGINAL SOUND TRACKS,2016-12-29(C91)(CD)、2017-05-01(Digital),2,真里歌 / KAKO / 彩羅 / 瑞田茉莉 / REM / eufonius,1836 JPY(CD)、¥ 36(Digital),上松範康 / 丸山公詳 / sin / Ebi / 僧天 / 諸田英慈 / onoken / 水月陵 / 石橋弘史 / maru(丸山公詳) / 藤間仁 / 矢野雅士 / sentive / 443 / MASA(Dreaming Rabbit) / 菊地創,130m(CD)、145m(Digital),ステージ☆なな,上松範康 / 丸山公詳 / sin / ebi / 僧天 / 諸田英慈 / onoken / 水月陵 / 石橋弘史 / maru(丸山公詳) / 藤間仁 / 矢野雅士 / sentive / 443 / MASA(Dreaming Rabbit) / 菊地創,kaoru / Takashi / 三澤秋 / 海富一 / Lira / 片岡とも / riya,,,Narcissu 10th Anniversary Soundtrack,,,,,,CD、Digital,,,,,,,,,,,,,,,,,,
616,CLANNAD key 麻枝准 OST 折户伸治 治愈 我眼里怎么突然进沙子了 神曲 BGM 2004 音乐 riya クラナド 戸越まごめ galgame 日本 折戸伸治 游戏 Lia 童年记忆 eufonius 原声集 2004年 动画 GAME 催泪 有几个非常不错 2004-08 CALNNAD 潮鳴り,9.153,1487,"['715', '454', '222', '63', '16', '11', '0', '0', '0', '6']",CLANNAD Original SoundTrack,2004.08.13,3,Lia / riya,"￥3,800＋税",戸越まごめ / 麻枝准 / 折戸伸治 / eufonius,72:27+65:45+69:00,Key Sounds Label,戸越まごめ / 菊地創,riya / 魁 / 萩原ゆう / 麻枝准,,,,,,,,KSLA-0012～0014,,,,,,,,,,,,,,,,,,,
18311,菅野よう子 OST 星际牛仔 菅野洋子 jazz 2002 カウボーイビバップ anime O.S.T. live cowboybebop Pierre_Bensusan シートベルツ Tulivu-Donna_Cumberbatch ，星际牛仔 _Coupeau 补 大冢宗一郎 Sydney_Thiam Valentin Collection VOCAL cd 山根麻以 日本 动画 ， steve_conte new-age,9.266,192,"['111', '50', '19', '7', '2', '0', '1', '0', '0', '2']",COWBOY BEBOP CD BOX,2002-06-21,5,シートベルツ、山根麻衣(山根麻以)、Valentin Coupeau、Gabriela Robin(菅野よう子)、Sydney Thiam、Tulivu-Donna Cumberbatch、Pierre Bensusan、Steve Conte、大冢宗一郎、多田葵、Emily Bindiger、Raj Ramayya、江原正士,"￥ 10,290",菅野よう子,231 m,ビクターエンタテインメント,菅野よう子,Tim Jensen、Valentin Coupeau、Gabriela Robin(菅野よう子)、Sydney Thiam、Cris Mosdell、Pierre Bensusan、Brian Richy、ナベシン&ヨーコ(渡辺信一郎、菅野よう子),"Original Soundtrack, Vocal, Drama",ビクターエンタテインメント,,,星际牛仔CDBOX,,,,,,,,,,,,,,,,,,,,,,
4224,高达 30年业界良心 OST UC系列 近代日本音乐发展史 2010 平成高达 田中理惠 桑岛法子 中岛美嘉 OP ED GUNDAM SEED之后档次提升好多 林原惠 VOCAL 石川智晶 Vicctor.Entertainment Seed之后只是录音技术提升了吧 2010年 无 145 Artists 我喜欢的作品 补 主题歌集 ROBO songs 精选 合集,9.247,198,"['92', '71', '28', '6', '1', '0', '0', '0', '0', '0']",GUNDAM SONGS 145,2010-02-24,10,西川貴教、玉置成実、CHEMISTRY、田中理恵、TWO-MIX、石川智晶、ROMANTIC MODE、林原めぐみ、立木文彦、中島美嘉、See-Saw、UVERworld、桑島法子、恒松あゆみ、ステレオポニー、柿島伸次、奥井亜紀,30000円,,634分钟,,,,Limited Edition,,GUNDAM 30th ANNIVERSARY BOX GUNDAM SONGS 145,Vicctor Entertainment =music=,高达30周年纪念 145曲全集结,,,,,,,,,,,,,,,,,,,,,,
27985,久石让 OST 宫崎骏动画 音乐会 久石譲 live 现场演出 日本 2009 动漫游戏原声 藤澤麻衣 平原綾香 anime 大橋のぞみ 吉卜力 Concert 补 2009年 宫崎骏 藤岡藤巻 林正子 我眼里怎么突然进沙子了 SYMPHONY,9.248,202,"['114', '47', '27', '9', '1', '4', '0', '0', '0', '0']",久石譲 in 武道館 ~宮崎アニメと共に歩んだ25年間~,2009-07-03,2,久石譲、新日本フィル・ワールド・ドリーム・オーケストラ、栗友会合唱団、東京少年少女合唱隊、林正子、平原綾香、藤澤麻衣、藤岡藤巻、大橋のぞみ,"￥ 4,935",久石譲,115 m,,久石譲、宮野幸子、山下康介、長生淳,宮崎駿,Color / Dolby / Widescreen,ウォルトディズニースタジオホームエンターテイメント,,ウォルトディズニースタジオホームエンターテイメント,久石让在武道馆~与宫崎骏动画一同走过的25年~,,,,DVD,,,,,,,,,,,,,,,,,4959241981301,
209615,OST MONACA 岡部啓一 尼尔 2017 买音乐送游戏 nier 帆足圭吾 游戏 神配乐 尼尔机械纪元 GAME ACG Nier&DOD 神曲 2017年 我喜欢的作品 2017年3月 NieR:Automata 古典味 厉害了 SquareEnixMusic 横尾太郎 爵音 无话可说 音乐专辑 游戏原声 原声 VGM cd,9.149,497,"['198', '196', '85', '15', '3', '0', '0', '0', '0', '0']",NieR:Automata Original Soundtrack,2017-03-29,3,Emi Evans / J'Nique Nicole / 河野マリナ(河野万里奈) / YoRHa,"￥3,456",岡部啓一 / 帆足圭吾 / 高橋邦幸 / 石濱翔,214 m,Square Enix Music,岡部啓一 / 帆足圭吾 / 高橋邦幸,J'Nique Nicole / 横尾太郎(ヨコオタロウ),,Sound City Studio / MONACA STUDIO,,,,,,,,,,,,,,,,,,,,,,,,,
43259,OST 雑音工房NOISE 腐姬 galgame liar-soft 2002 椎名治美 liar 杂音工房noise GAL 2002年 SOFT 九十九百太郎 長崎繁 Taz AVG VGM 游戏 ゲーム,9.206,204,"['94', '70', '29', '10', '1', '0', '0', '0', '0', '0']",腐り姫～euthanasia～ゲームディスク,2002,1,,,雑音工房NOISE,60min,,,,,,腐り姫～euthanasia～ OST,,腐姬 原声音乐,,,,,,,,,,,,,,,,,,,,,,
118788,OST 增田俊郎 蟲師 増田俊郎 虫师 2015 2015年 Ally_Kerr 冷饭 补 治愈,9.265,147,"['81', '43', '17', '3', '1', '0', '0', '0', '0', '2']",蟲音 全,2015-01-28,2,Ally Kerr,"￥ 3,456",増田俊郎、Ally Kerr,,ソニー・ミュージックエンタテインメント、マーベラス,増田俊郎、Ally Kerr,Ally Kerr,,株式会社マーベラス,「蟲師」オリジナルサウンドトラック,株式会社マーベラス,,,,,,,,,,,,,,,,,,,,,,,
4974,OST 尼尔 MONACA nier 神配乐 游戏 岡部啓一 2010 GAME DOD系列 RPG Nier&DOD 2010年 Emi_Evans 原声 龙背上骑兵外传 PS3,9.213,174,"['79', '65', '22', '6', '0', '2', '0', '0', '0', '0']",NieR Gestalt & Replicant Original Soundtrack,2010-04-21,2,Emi Evans、中川奈美,"￥ 2,800",岡部啓一、石濱翔、帆足圭吾、西村隆文,2:30:05,スクウェア・エニックス、ソニー・ミュージックディストリビューション,岡部啓一、石濱翔、帆足圭吾、西村隆文、高田龍一,Emi Evans,,SMD,ニーアゲシュタルト&レプリカント オリジナル・サウンドトラック,,尼尔 完全形态&伪装者 OST,,,,,,,,,,,,,,,,,,,,,,
8063,OST 素晴らしき日々 松本文紀 galgame 夜の向日葵 ryo 美好的每一天 2010 ケロQ szak 松本文纪 游戏 2010年 VGM O.S.T. 小さな旋律 ピクセルビー 神曲 うさ 游戏原声集 空力诗 夏の大三角 松本文紀　ピクセルビー HB_STUDIO 治愈 AVG ADV cd GAME 2010-05,9.077,545,"['225', '188', '99', '25', '5', '1', '0', '0', '1', '1']",素晴らしき日々 サウンドトラックCD,2010年05月03日,2,うさ、ピクセルビー,"2,500円",ryo、松本文紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254889,OST 麻枝准 水月陵 key 折户伸治 galgame 竹下智博 催泪 2018 どんまる 夜は短く、空は遠くて key社 折戸伸治 Pockets 已入 YURiKA rionos 2018-09 岩井映美里 Summer_Pockets 2018年 summer 游戏 ADV VGM KSL 水谷瑠奈 鈴木このみ AVG ゲーム,9.108,323,"['147', '99', '57', '11', '6', '2', '0', '0', '1', '0']",Summer Pockets Original SoundTrack,2018.09.26,3,岩井映美里、YURiKA、水谷瑠奈、鈴木このみ、rionos,"￥3,500＋税",折戸伸治、麻枝准、どんまる、竹下智博、水月陵,60:44+68:59+57:16,Key Sounds Label,折戸伸治、どんまる、竹下智博、水月陵、柳川和樹、bermei.inazawa、しょうゆ、中山真斗、塚越雄一朗,魁、新島夕、麻枝准、ハサマ,,,,,,,,KSLA-0149～151（PC流通版） / KSLM-0149～151（音楽流通版）,,,,,,,,,,,,,,,,,,,
1716,增田俊郎 OST 虫师 蟲師 治愈 和风 静心 2006 増田俊郎 日本 银古叔 音 最接近自然地 银古 Ally_Kerr anime ☆ACG ★J-POP 平静 补 AllyKerr アニメ 动画 清新 原声 动漫原声带 2006年,9.068,530,"['212', '197', '91', '22', '3', '2', '0', '0', '0', '3']",蟲音 後,2006年6月23日,1,Ally Kerr,,増田俊郎、Ally Kerr,48 分,マーベラス、ジェネオンエンタテインメント,増田俊郎、Ally Kerr,Ally Kerr,,マーベラス,蟲師 オリジナル・サウンドトラック 第二弾,,,,,,,,,,,,,,,,,,,,,ジェネオン エンタテインメント(株),マーベラスエンターテイメント(株),,
1715,虫师 增田俊郎 OST 治愈 蟲師 清新 和风 静心 赞 増田俊郎 2006 银古 日本 银古叔 anime Ally_Kerr 2006年 平静 治愈； ☆ACG ★J-POP 十星 补 AllyKerr 蟲師； 删除 纯音乐 原声 动画 アニメ,9.048,631,"['248', '245', '97', '26', '8', '2', '1', '0', '0', '4']",蟲音 前,2006年3月24日,1,Ally Kerr,"￥ 7,245",増田俊郎、Ally Kerr,50 分,マーベラス、ジェネオンエンタテインメント,増田俊郎、Ally Kerr,Ally Kerr,,マーベラス,蟲師 オリジナル・サウンドトラック,,,,,,,,,,,,,,,,,,,,,,,,
33842,岩崎琢 OST 浪客剑心追忆篇 1999 浪客剑心 anime 日本 るろうに剣心-明治剣客浪漫譚- 动画 1999年 补 动漫史上契合度最高BGM 2011-,9.151,186,"['97', '51', '27', '6', '2', '0', '0', '0', '0', '3']",るろうに剣心 : 明治剣客浪漫譚 追憶編 ― オリジナル・サウンドトラック,1999-03-20,1,,"￥ 3,059",岩崎琢,55 m,SME・ビジュアルワークス,,,Soundtrack,SME・ビジュアルワークス,,,,,,,,,,,,,,,,,,,,,,,,,
36140,OST 深澤秀行 魔法使いの夜 galgame supercell Type-Moon ryo 2012 深泽秀行 名曲改编 好棒 魔法使之夜 奇幻 石川敏 永田大祐 芳賀敬太 GAL 游戏 O.S.T. VGM 120509 爵音 游戏原声 nagi ADV KATE 2012年 松本文纪 ゲーム,9.066,363,"['130', '150', '62', '19', '2', '0', '0', '0', '0', '0']",魔法使いの夜 オリジナルサウンドトラック,2012-05-09,3,supercell / 今野均ストリングス,"￥ 3,500",深澤秀行、KATE(芳賀敬太)、James Harris(永田大祐)、hil(石川敏)、ryo,180 分,Aniplex,深澤秀行、ryo,ryo,,Aniplex,WITCH ON THE HOLY NIGHT ORIGINAL SOUNDTRACK,,,,,,,,,,,,,,,,,,,,,,,,
23,SoundHorizon Elysion～楽園幻想物語組曲～ 神作 A姐 哥特风 暗黑 SH最高作！ SH REVO神 乐园 中世纪欧洲 A娘淚目 revo 2005 Aramary  horizon sound 同人 JIMANG Sound_Horizon 物语音乐 专辑 5个萝莉和1个大叔 A娘 Sound.Horizon Elysion 同人音樂 在爱我的和我爱的人中选择　　我会选择我爱的人　　在你笑为情自 同人音乐,9.013,1212,"['503', '380', '224', '72', '24', '5', '1', '1', '0', '2']",Elysion～楽園幻想物語組曲～,2005-04-13,1,Sound Horizon、Aramary、Jimang,,,,,,,专辑,,,ベルウッドレコード,,Yokoyan,Revo,,,,,,,,,,,,,,,,,,,,
11781,梶浦由記 空之境界 OST 空の境界 kalafina 空灵 神曲 2011 梶浦由记 治愈 动漫电影原声带 M18 ACG 耐听型 重编曲 anime 动画 伪中庸 动画原声 M01 开眼 音乐总集 2011年 Collection Type-Moon 动漫原声带 剧场版 燃 アニメ in_the_garden_of_sinners,9.016,739,"['258', '291', '145', '38', '5', '1', '0', '1', '0', '0']",the Garden of sinners-劇場版「空の境界」音楽集-,2011-03-02,2,Kalafina,"￥ 3,675",梶浦由記,2:15:27,,,,,,"the Garden of sinners -Movie ""Kara no Kyoukai"" Music Collection-",,空之境界剧场版音乐集,,,,,,,,,,,,,,,,,,,,,,
925,菅野洋子 OST cowboybebop 菅野よう子 星际牛仔 blue 1999 Cowboy anime カウボーイビバップ 多田葵 Bebop シートベルツ Tulivu-Donna_Cumberbatch SYDNEY 1999年 ★J-POP ☆ACG 补 ★JPOP Emily_Bindiger VICTOR 山根麻以 日本 动画 jazz 动漫原声带 艺人专辑 2002 steve_conte,9.064,329,"['154', '95', '56', '10', '9', '1', '2', '0', '0', '2']",COWBOY BEBOP SOUNDTRACK 3 - BLUE,1999-05-01,1,シートベルツ、山根麻衣(山根麻以)、Steve Conte、Tulivu-Donna Cumberbatch、SYDNEY with sister R、Emily Bindiger、多田葵,"￥ 3,045",菅野よう子,71 m,ビクターエンタテインメント,菅野よう子,Tim Jensen、Gabriela Robin(菅野よう子)、Brian Richy、Jerzy Knetig、種ともこ,Soundtrack,ビクターエンタテインメント,,,星际牛仔原声集3 - BLUE,,,,,,,,,,,,,,,,,,,,,,
237468,rance10 OST galgame DJ_C++ PKタートルズ 水夏える 2018 VGM Rance,9.404,57,"['31', '19', '6', '1', '0', '0', '0', '0', '0', '0']",アリスサウンドアルバムVol.31 ランス10,2018年2月23日,3,,,水夏える、PKタートルズ、DJ C++,149m,ALICESOFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4115,AIR key 鸟之诗 Lia 国歌 麻枝准 ACG 神曲 OP 治愈 2006 魔王 ED 动漫主题曲 anime IN OP_ED 我眼里怎么突然进沙子了 2006年 单曲 Special “鳥の詩／Farewell レコード 京都アニメーション LP アナログコレクターズエディション 求一个 推荐 童年 戸越まごめ,8.967,479,"['166', '181', '96', '29', '4', '2', '0', '0', '0', '1']","AIR アナログコレクターズエディション ""鳥の詩／Farewell song""",2006.05.03,1,Lia,"￥2,857＋税",,32:43,Key Sounds Label,,,,,,,,,,KSLA-0022,,,,,,,,,,,,,,,,,,,
15168,OST 治愈 ARIA 笹子重治 牧野由依 anime ACG 2005 河井英里 夜曲 水星领航员 日本 Choro_Club Hi-Res 2005年,9.077,142,"['57', '47', '31', '6', '1', '0', '0', '0', '0', '0']",ARIA The ANIMATION オリジナルサウンドトラック,2005-11-23,1,,"￥3,045",沢田穣治、窪田ミナ、妹尾武、笹子重治、秋岡欧、北川勝利,65分,フライングドッグ,Choro Club、窪田ミナ、沢田穣治、妹尾武、ROUND TABLE、桜井康史,河井英里、北川勝利,Original Soundtrack,flying DOG,ARIA The ANIMATION オリジナルサウンドトラック,,水星领航员 原声集,,,,,,,,,,,,,,,,,,B002AD9UEW,,,,
18304,OST 菅野よう子 菅野洋子 星际牛仔 cowboybebop 1998 anime カウボーイビバップ 动漫原声带 日本 シートベルツ Tulivu-Donna_Cumberbatch Pierre_Bensusan DJ_FOOD 1998年 艺人专辑 补 动画 山根麻以 jazz 古川昌義 Carla_Vallet 2002 遠藤正明,9.027,183,"['78', '61', '26', '15', '0', '1', '1', '0', '0', '1']",COWBOY BEBOP SOUNDTRACK 2 - No Disc,1998-10-21,1,シートベルツ、Carla Vallet、山根麻衣(山根麻以)、遠藤正明、Gabriela Robin(菅野よう子)、Pierre Bensusan、古川昌義、Tulivu-Donna Cumberbatch,"￥ 3,045",菅野よう子,53 m,,菅野よう子、DJ FOOD,Carla Vallet、Tim Jensen、Gabriela Robin(菅野よう子)、Brian Richy、Cris Mosdell,Soundtrack,ビクターエンタテインメント,,,星际牛仔原声集2 - No Disc,,,,,,,,,,,,,,,,,,,,,,
2085,冈崎律子 交响乐之雨 岡崎律子 治愈 SR 献给冈崎律子 2004年 专辑 RITZ 印象曲集 galgame フルーツバスケット 治癒 Collection 合集 GAME JPOP j-pop 2004 For 艺人专辑,9.058,154,"['65', '48', '29', '10', '1', '1', '0', '0', '0', '0']",for RITZ,2004年12月29日,1,岡崎律子,￥3000,,50 分,キングレコード,長谷川智樹、磯江俊道、鳥山雄司、岡崎律子、十川ともじ、光宗信吉、村山達哉、西脇辰弥,岡崎律子,"Arrangement, Vocal",キングレコード,,,,,,,,,,,,,,,,,,,,,,,,,
8610,灌篮高手 ZARD SLAMDUNK 大黑摩季 精选集 2003 WANDS ED J-rock MANISH OP OPED BAAD 动漫主题曲集 ZYYG anime 童年 集合 大黒摩季 主题歌集 アニメ OST 动画 神曲 补 2003年 动画歌曲 过期食品 直到世界尽头 一心二用,8.976,253,"['76', '114', '48', '12', '2', '1', '0', '0', '0', '0']",THE BEST OF TV ANIMATION SLAM DUNK~Single Collection~,2003-07-21,1,BAAD、大黒摩季、WANDS、MANISH、ZYYG、ZARD,"￥ 3,200",多々納好夫、大黒摩季、織田哲郎、川島だりあ、大田紳一郎,30 m,B-Gram RECORDS,明石昌夫、葉山たけし、ZYYG、大田紳一郎,山田恭二、大黒摩季、上杉昇、高橋美鈴、川島だりあ、高山征輝、坂井泉水,专辑,株式会社ビーグラム,男兒當入樽 精選音樂專輯,株式会社ビーグラム,灌篮高手 最佳单曲辑,,,,,,,,,,,,,,,,,,,,,,
8478,Vocaloid 初音ミク 感謝祭 高清拯救人生 miku 初音，3·9感谢祭 miku赛高 miku不會消失 live 2010 高科技 3D满足特殊人群 初音 初音未来感谢祭 39 3·9感谢祭 初音未来 神作 v家 キャラクター G 专辑 葱娘最高 2010年3月 欢快 行 ★Vocaloid ク SEGA广告 走起,8.898,826,"['292', '252', '214', '47', '17', '3', '1', '0', '0', '0']",ミクの日感謝祭 39's Giving Day Project DIVA presents 初音ミク・ソロコンサート~こんばんは、初音ミクです。~,2010-09-01,2,,"￥3,150",,115 分,5pb.,,,"CD-ROM, Live",5pb.Records,,5pb.Records,初音未来39感谢祭,,,,,,,,,,,,,,,,,,,,,,
18306,OST 菅野洋子 菅野よう子 星际牛仔 cowboybebop TheRealFolkBlues 1998 ED anime カウボーイビバップ 1998年 岩里祐穂 补 Carla_Vallet シートベルツ 浪漫 jazz OP 动画 日本 挿入歌 动漫原声带 山根麻以 VICTOR,9.125,104,"['54', '27', '12', '9', '1', '0', '0', '0', '0', '1']",COWBOY BEBOP VITAMINLESS,1998-06-03,1,シートベルツ、山根麻衣(山根麻以)、Gabriela Robin(菅野よう子)、Carla Vallet,"￥ 1,785",菅野よう子,29 m,ビクターエンタテインメント,菅野よう子,岩里祐穂、Gabriela Robin(菅野よう子)、Carla Vallet,Soundtrack,ビクターエンタテインメント,,,,,,,,,,,,,,,,,,,,,,,,,
4114,AIR 麻枝准 key OST 折戸伸治 Lia 戸越まごめ 治愈 神作 国歌 夏影 2002 ACG galgame 动漫音乐 NewType anime 京阿尼 アニメ 日本 GAME KSL 折户伸治 动漫游戏原声 平静 2002年 高瀬一矢 已经购入 2016 已整理,8.902,676,"['213', '251', '160', '40', '9', '3', '0', '0', '0', '0']",AIR Original SoundTrack,2002.09.27 (C62),2,Lia,"￥3,000＋税",麻枝准 / 折戸伸治 / 戸越まごめ,73:48+34:30,Key Sounds Label,麻枝准 / 折戸伸治 / 戸越まごめ / 高瀬一矢,麻枝准,,,,,,,,KSLA-0004～0005,,,,,,,,,,,,,,,,,,,
21098,key OST 麻枝准 水月陵 Rewrite 折户伸治 井内舞子 细井聪司 galgame 治愈 多田葵 細井聡司 恋文 KSL 2011 折戸伸治 2011年 ゲーム 神曲 Honesty やなぎなぎ nagi 游戏 三輪学 Tr₇Sr₊ iTunes购入 I 哲学z，Rewrite，瑚太朗，救济，篝火，地月 KSLA ORIGINAL,8.938,370,"['131', '118', '96', '18', '6', '1', '0', '0', '0', '0']",Rewrite Original SoundTrack,2011.08.12 (C80),3,多田葵、水谷瑠奈、サイキックラバー、やなぎなぎ,"￥3,800＋税",水月陵、細井聡司、麻枝准、折戸伸治、井内舞子,67:57+70:31+67:34,Key Sounds Label,ANANT-GARDE EYES,,,,,,,,,KSLA-0073～75,,,,,,,,,,,,,,,,,,,
4150,菅野よう子 GUNDAM 高达 菅野洋子 奥井亜紀 ED ∀ガンダム anime 2000 月之茧 single 奥井亚纪 8cm Song 2000年 OP_ED ROBO キングレコード 1999 动漫主题曲 VOCAL OPED アニメ TV 幼女控赛高 機動戦士ガンダム 30年业界良心,8.990,203,"['74', '76', '40', '8', '4', '0', '0', '0', '0', '1']",月の繭,2000-02-04,1,奥井亜紀,"￥1,020",菅野よう子,19 分,STAR CHILD,菅野よう子,井萩麟(富野由悠季),Maxi,,,STAR CHILD,月之茧,,,,,,,,,,,,,,,,,,,,,,
14636,OST Narcissu 水仙 galgame 水月陵 ElementsGarden eufonius 游戏 2007 O.S.T. 上松範康 游戏原声 riya ゲーム Ebi Masa SENTIVE 2017-05 Barbarian_On_The_Groove nekoneko系 僧天 AVG onoken 菊地創 MUSIC 藤間仁 GAL 2007年,8.975,240,"['74', '108', '42', '15', '0', '0', '0', '0', '0', '1']",narcissu SIDE 2nd Soundtrack,2007年05月25日,,,,Dreaming Rabbit,,,,,,,,,水仙2 原声集,,,,,,,,,,,,,,,,,,,,,,
213217,OST 加藤達也 山田タマル 2017 青い記憶 柯教兴国 暖心 すかすか 末鱼 anime 2017年 原声集 音乐专辑 凯尔特风 Q-MHz 「✔」 h-wonder 南田健吾 一心二用 斯卡布罗集市 末日时在做什么？有没有空？能不能来拯救？ 珂朵莉 过期食品 泪水与幸福 終末なにしてますか？忙しいですか？救ってもらっていいですか？ 10分 治愈 动画 cd TV,8.925,348,"['112', '129', '84', '18', '3', '1', '1', '0', '0', '0']",青い記憶,2017-07-12,2,田所あずさ / TRUE(唐沢美帆) / 山田タマル,"￥3,564",加藤達也 / Q-MHz / 南田健吾 / h-wonder / 山田タマル,131 分,ランティス,加藤達也 / 鈴木めぐみ / 山崎亨 / 増田武史 / 南田健吾 / h-wonder / 山下洋介,Q-MHz / 唐沢美帆(TRUE) / 山田タマル,,音響ハウス,TVアニメ『終末なにしてますか?忙しいですか?救ってもらっていいですか?』オリジナルサウンドトラック,,,,,,,,,,,,,,,,,,,,,,,,
2748,数码宝贝 燃 神曲 童年 和田光司 无限大的梦想 OP 数码暴龙第一部 数码暴龙 清唱版最高 anime 1999 我爱阿和x太一 无限大 动画 アニメ single DIGIMON 低级萌 日本 Butter-Fly DM 小山晃平 千綿偉功 童年的 ) nia~ DA ° 8cm,8.881,961,"['327', '347', '186', '74', '17', '5', '0', '2', '0', '3']",Butter-Fly,1999-04-23,1,和田光司,"￥1,050",千綿偉功、小山晃平,17:12,インターチャネル,渡部チェル,千綿偉功、小山晃平,"Single, Maxi",インターチャネル,,,,,,,,,,,,,,,,,,,,,,,,,
47166,OST ARIA 治愈 笹子重治 2009 anime Hi-Res ACG 水星领航员 Choro_Club 牧野由依 OPED插入歌 2009年,9.116,95,"['36', '36', '21', '2', '0', '0', '0', '0', '0', '0']",ARIA The NATURAL オリジナルサウンドトラック due,2006-05-24,1,フライングドッグ,2900 JPY,笹子重治、秋岡欧、窪田ミナ、妹尾武、PAXQUE、沢田穣治、北川勝利,61 m,,Choro Club、妹尾武、沢田穣治、笹子重治、ROUND TABLE、桜井康史、窪田ミナ,河井英里、北川勝利,Original Soundtrack,flying DOG,ARIA The NATURAL ORIGINAL SOUNDTRACK due,,水星领航员第二季 原声集,,,,,,,,,,,,,,,,,,,,,,
15814,我们仍未知道那天所见的花的名字 あの花 治愈 神曲 催泪神曲 茅野愛衣 戸松遥 原唱神曲10年后翻唱更高 早見沙織 ED 10年 ZONE 2011 TTVTT又虐又治愈 秘密基地 神曲不解释 迷之感动 anime 催泪 那朵花 single アニメ 动画 secret OP ACG 早见沙织 茅野爱衣 あの日見た花の名前を僕達はまだ知らない base,8.854,2015,"['725', '606', '471', '147', '45', '9', '3', '2', '0', '7']",secret base ～君がくれたもの～,2011-04-27,1,戸松遥、早見沙織、茅野愛衣,"￥ 1,260",町田紀彦,21 分,Aniplex,阿部尚徳、古川本舗,町田紀彦,"Single, Maxi",Aniplex,,,secret base ～你所赠予之物～,,,,,,,,,,,,,,,,,,,,,,
3036,Lamento OST N+C いとうかなこ zizz nitro+chiral Nitro+ 民族风 游戏原声带 吟游诗人 哼唱美 ワタナベカズヒロ 2006 游戏音乐 游戏 GAME PC 中庸 2006年 江幡育子 ZIZZ_STUDIO 补 泉邦宏 大山曜 Nitro加CHiRAL 磯江俊道 GAL OP ACG 游戏原声,8.927,262,"['82', '99', '64', '14', '3', '0', '0', '0', '0', '0']",Lamento O.S.T. -The World Devoid Of Emotion-,2006-11-24,2,ZIZZ STUDIO、ワタナベカズヒロ、いとうかなこ,3500円,,,,,,,,,"Nitro+CHiRAL, DIGITURBO, HOBiRECORDS",,,,,,,,,,,,,,,,,,Nitro+CHiRAL,,,,,
