subject,tags,rating,votes,ratings,原名,发售日期,碟片数量,艺术家,价格,作曲,播放时长,厂牌,编曲,作词,版本特性,录音,别名,发行商,中文名,插图,制作人,商品编号,介质,英文名,Conductor,编号,Piano,Keyboard,Drums,Band,Choir,Orchestra,Arrangement,Sound Director,官方网站,原作,ASIN,发布,制作,条型码,品番
4311,坂本真绫 菅野洋子 翼神传说 菅野よう子 2003 ACG 坂本真綾 TM 动漫主题曲 日本 ラーゼフォン OST j-pop 岩里祐穂 steve_conte 2003年 ED Alexander.Porfiryevich.Borodin Main_Theme ★J-POP ☆ACG Steve.Conte TV 主题曲 神曲 动画 anime JPOP single,8.713,209,"['46', '77', '70', '13', '2', '1', '0', '0', '0', '0']",tune the rainbow,2003-04-02,1,坂本真綾 / Steve Conte,"￥1,000",菅野よう子 / Alexander Porfiryevich Borodin,14 分,ビクターエンタテインメント,菅野よう子,岩里祐穂 / Chris Mosdell / 坂本真綾,Single / Maxi,,,ビクターエンタテインメント,,,,,,,,,,,,,,,,,,,,,,,
2179,OST FLCL thepillows 光宗信吉 the_pillows Pillows 动漫原声带 山中さわお 动画 2000 サントラ3 ROBO Cooly(FLCL) フリクリ O.S.T. Rock 2006 3 Fooly,8.733,161,"['43', '59', '45', '9', '2', '1', '1', '0', '0', '1']",Fooly Cooly(FLCL) OST 3 / フリクリ サントラ3,,1,the pillows,,山中さわお,55分钟,キングレコード,the pillows,山中さわお,OST,キングレコード,FLCL Original Sound Track NO. 3,キングレコード,特别的她 / 求恋期 原声音乐 3,,,,,,,,,,,,,,,,,,,,,,
13327,志方あきこ ED 2011 うみねこのなく頃に散 うみねこのなく頃に 神曲 海猫EP8 GAME ゲーム 白梦之茧 空灵 Main_Theme 志方晶子 第五首就是整个海猫的精华 主题曲 日本 海猫 ACG OST 志方akiko,8.804,102,"['35', '26', '30', '9', '1', '1', '0', '0', '0', '0']",白夢の繭~Ricordando il passato,2011-06-08,1,志方あきこ,"￥ 1,575",,16 分,フロンティアワークス,志方あきこ,志方あきこ、磯谷佳江,Maxi,フロンティアワークス,,フロンティアワークス,,,,,,,,,,,,,,,,,,,,,,,
53413,OST 川井憲次 川井宪次 攻壳机动队 2004 攻殻機動隊 西田佳づ美 西田和枝社中 清水多永子 伊藤予示子 动画 伊藤君子 anime,8.811,95,"['33', '28', '25', '6', '2', '0', '0', '0', '0', '1']",INNOCENCE O.S.T.,2004-03-03,,西田和枝社中、伊藤君子、伊藤予示子、西田佳づ美、清水多永子,"￥ 3,045",川井憲次、Joaquin Rodrigo,47 m,ビクターエンタテインメント,川井憲次,川井憲次、坂本美雨、Herbert Kretzmer、Hal Shaper,Soundtrack,ビクターエンタテインメント,Ghost in the Shell Innocence ost,ビクターエンタテインメント,攻壳机动队2 无罪 OST,,,,,,,,,,,,,,,,,,,,,,
18145,ARIA OST 钢琴 窪田ミナ 治愈 妹尾武 Image_Song anime Hi-Res 水星领航员 2008 2008年,9.000,50,"['21', '17', '7', '3', '0', '2', '0', '0', '0', '0']",ARIA The ORIGINATION ピアノ・コレクションII「ディパルテンツァ-旅立ち-」,2008-03-26,,"窪田ミナ,SONOROUS 妹尾武","￥ 2,100",,36 m,,,,,JVCエンタテインメント,,JVCエンタテインメント,,,,,,,,,,,,,,,,,,,,,,,
267235,スタァライト九九組 少女☆歌劇 2018 曲子 神一般的 2018年 CS 角色歌 叶人 其他 single cd キャラソン 女声 anime 藤井亮太,8.980,51,"['20', '16', '9', '6', '0', '0', '0', '0', '0', '0']","You are a ghost, I am a ghost 〜劇場のゴースト〜",2018-12-26,1,スタァライト九九組【愛城華恋(CV:小山百代)、神楽ひかり(CV:三森すずこ)、天堂真矢(CV:富田麻帆)、星見純那(CV:佐藤日向)、露崎まひる(CV:岩田陽葵)、大場なな(CV:小泉萌香)、西條クロディーヌ(CV:相羽あいな)、石動双葉(CV:生田輝)、花柳香子(CV:伊藤彩沙)】,"14,000円（税別）",叶人、藤井亮太,,,藤井亮太,中村彼方,,,「少女☆歌劇 レヴュースタァライト」キャラクターソングCD 2,,,,,,,,,,,,,,,,,,,,,,,,
32004,OST 去月球 To_the_Moon 治愈 原声 游戏 平静 加拿大 神曲 O.S.T. 2011 GAME Freebird River For BonusVersion freebirdgames Kan_Gao 游戏原声集 2011-11 KanR.Gao Laura.Shigihara 西洋 催泪 之余 游戏ost 游戏音乐 RPG 我喜欢的作品,8.690,210,"['31', '101', '61', '16', '1', '0', '0', '0', '0', '0']",To the Moon Original Soundtrack,2011-11-04(Digital)、2012-07-06(CD),,"Kan R. Gao, feat. Laura Shigih、Laura Shigihara",5加元或每首1加元(Digital),Freebird Games、Laura Shigihara,57:51(Digital)、54:09(CD),,,,专辑,,,,去月球 原声集,,,,数字(Digital)、CD,,,,,,,,,,,,,,,,,,
3606,key 麻枝准 OST LittleBusters! LB 折户伸治 神曲 三輪学 KSL 水月陵 戸越まごめ 催泪 galgame Manack O.S.T. 友情第一催泪OST 2007 PMMK 折戸伸治 中庸 购入预定 2017 已整理 ADV Rita GAME 三轮学 ゲーム AVG 麻枝準,8.667,243,"['49', '91', '81', '17', '5', '0', '0', '0', '0', '0']",リトルバスターズ！ Original SoundTrack,2007.09.28,3,Rita / Manack / PMMK / 麻枝准 / 折戸伸治 / 戸越まごめ / 水月陵,"￥3,800＋税",PMMK、三輪学、戸越まごめ、麻枝准、折戸伸治,63:42+64:03+54:06,Key Sounds Label,中沢伴行、尾崎武士,都乃河勇人、麻枝准,各曲解説・ボーカル曲メロ譜付,,Little Busters! Original SoundTrack,,,,,KSLA-0033～0035,,,,,,,,,,,,,,,,,,,
35361,鋼の錬金術師 OST ED OP 精选 钢之炼金术师 2012 精选集 BEST YUI OPED插入歌 中川翔子 鋼錬 V.A. FA 2010s ボーカルアルバム 2012年 主题歌集 アニメ ACG cd 动画 anime 剧场版 神OST TV anisong 游戏 OVA,8.674,258,"['60', '101', '70', '20', '2', '3', '0', '0', '0', '2']",鋼の錬金術師 THE BEST,2012-02-29,CD2枚 DVD一枚,ポルノグラフィティ / 北出菜奈 / L’Arc～en～Ciel / YeLLOW Generation / COOL JOKE / Crystal Kay / ASIAN KUNG-FU GENERATION / Sowelu / YUI / シド / NICO Touches the Walls / 福原美穂 / スキマスイッチ / Lil’B / CHEMISTRY / SCANDAL / 中川翔子 / miwa,"￥ 3,360",,100分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,冈崎律子 水果篮子 治愈 神曲 岡崎律子 OP 治愈系 2001 回忆 ACG フルーツバスケット basket 大地丙太郎 single OST anime fruit ED アニメ 动画歌曲 回忆杀 OP_ED 村山達哉 2001年 OPED插入歌 聽到前奏就胃疼 op&ed OPED 动漫主题曲 女声,8.635,392,"['81', '149', '114', '36', '10', '2', '0', '0', '0', '0']",For フルーツバスケット,2001-07-25,1,岡崎律子,,岡崎律子,15min,キングレコード,村山達哉,岡崎律子,Single/Maxi,キングレコード,For Fruits Basket,キングレコード,,,,,,,,,,,,,,,,,,,,,,,
